"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102","ログアウト（/logout）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","未ログイン状態 > 操作系URLへの直接アクセス","e2e/smoke/all-pages-smoke.spec.ts","",""
"","351","タスク編集画面_ID有（/edit/id）に遷移すること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 画面遷移","ci/smoke/all-pages-smoke.spec.ts","",""
"","286","ログインできること","chromium","2025-12-13","passed","2025-12-13","ログイン > 動作（正常系）","ci/auth/login.spec.ts","",""
"","4","ログイン済みなら200が返ること","chromium","2025-12-13","passed","2025-12-13","APIテスト > ステータスコード > 正常系","e2e/mypage/mypage-api.spec.ts","",""
"","215","ログイン画面（/login）に遷移すること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 画面遷移","ci/smoke/all-pages-smoke.spec.ts","",""
"","266","ログイン認証保持：user11","setup","2025-12-13","passed","2025-12-13","","ci/helpers/auth.setup.ts","",""
"","226","パスワードのみ不正でログインエラーが表示されること","chromium","2025-12-13","passed","2025-12-13","ログイン > 動作（異常系） > 不正","ci/auth/login.spec.ts","",""
"","172","タスク削除_ID無し（/delete）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 操作系URLへの直接アクセス","ci/smoke/all-pages-smoke.spec.ts","",""
"","236","新規作成ボタン押下で新規作成画面に遷移すること","chromium","2025-12-13","passed","2025-12-13","タスク一覧画面 > 動作","e2e/tasks/tasks-list.spec.ts","",""
"","107","タスク新規作成（/new）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","未ログイン状態 > 画面遷移","e2e/smoke/all-pages-smoke.spec.ts","",""
"","189","ユーザー名、パスワード共に未入力で未入力エラーが表示されること","chromium","2025-12-13","passed","2025-12-13","ログイン > 動作（異常系） > 未入力","e2e/auth/login.spec.ts","",""
"","280","ログイン認証保持：user7","setup","2025-12-13","passed","2025-12-13","","ci/helpers/auth.setup.ts","",""
"","143","タスク削除_ID無し（/delete）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","未ログイン状態 > 操作系URLへの直接アクセス","ci/smoke/all-pages-smoke.spec.ts","",""
"","217","パスワードのみ未入力で未入力エラーが表示されること","chromium","2025-12-13","passed","2025-12-13","ログイン > 動作（異常系） > 未入力","e2e/auth/login.spec.ts","",""
"","1835","スタッツの値が正しいこと","chromium","2025-12-13","passed","2025-12-13","マイページ > タスクN件：完了率50%","e2e/mypage/mypage-basic.spec.ts","",""
"","247","ユーザー4でタスク作成","chromium","2025-12-13","passed","2025-12-13","タスク一覧画面 > 他人のタスク > 事前準備","e2e/tasks/tasks-list.spec.ts","",""
"","98","タスク削除_ID有（/delete/id）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","未ログイン状態 > 操作系URLへの直接アクセス","e2e/smoke/all-pages-smoke.spec.ts","",""
"","164","タスク新規作成（/new）に遷移すること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 画面遷移","ci/smoke/all-pages-smoke.spec.ts","",""
"","115","ログアウト（/logout）はログアウト処理が実行されること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 操作系URLへの直接アクセス","e2e/smoke/all-pages-smoke.spec.ts","",""
"","416","タスク名を未入力で未入力エラーが表示されること","chromium","2025-12-13","passed","2025-12-13","タスク編集画面 > 動作（異常系）","e2e/tasks/tasks-edit.spec.ts","",""
"","166","タスク編集画面_ID無し（/edit）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 画面遷移","e2e/smoke/all-pages-smoke.spec.ts","",""
"","231","ログアウトボタン押下でログアウト処理が実行されること","chromium","2025-12-13","passed","2025-12-13","タスク一覧画面 > 動作","e2e/tasks/tasks-list.spec.ts","",""
"","188","マイページ（/mypage）に遷移すること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 画面遷移","e2e/smoke/all-pages-smoke.spec.ts","",""
"","290","タスク削除_ID有（/delete/id）はタスク削除が実行されること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 操作系URLへの直接アクセス","e2e/smoke/all-pages-smoke.spec.ts","",""
"","276","ログイン認証保持：user8","setup","2025-12-13","passed","2025-12-13","","ci/helpers/auth.setup.ts","",""
"","165","タスク新規作成（/new）に遷移すること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 画面遷移","e2e/smoke/all-pages-smoke.spec.ts","",""
"","272","ログイン認証保持：user9","setup","2025-12-13","passed","2025-12-13","","ci/helpers/auth.setup.ts","",""
"","105","ログアウト（/logout）はログアウト処理が実行されること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 操作系URLへの直接アクセス","ci/smoke/all-pages-smoke.spec.ts","",""
"","369","セッションタイムアウト時に操作を続行できること","chromium","2025-12-13","passed","2025-12-13","マイページ（APIモック） > 運用系","e2e/mypage/mypage-api.spec.ts","",""
"","189","ユーザー名が空文字でも正しく表示されること","chromium","2025-12-13","passed","2025-12-13","マイページ（APIモック） > ユーザー名","e2e/mypage/mypage-api.spec.ts","",""
"","145","タスク新規作成（/new）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","未ログイン状態 > 画面遷移","ci/smoke/all-pages-smoke.spec.ts","",""
